[::] Illuminance | temt6000_adc=325 | max44009_lx=330.000000
[::] Illuminance | temt6000_adc=293 | max44009_lx=306.000000
[::] Illuminance | temt6000_adc=287 | max44009_lx=301.000000
[::] Illuminance | temt6000_adc=296 | max44009_lx=301.000000
[::] Illuminance | temt6000_adc=322 | max44009_lx=334.000000
[::] Illuminance | temt6000_adc=306 | max44009_lx=318.000000
[::] Illuminance | temt6000_adc=282 | max44009_lx=285.000000
[::] Illuminance | temt6000_adc=293 | max44009_lx=264.000000
[::] Illuminance | temt6000_adc=194 | max44009_lx=146.000000
[::] Illuminance | temt6000_adc=309 | max44009_lx=286.000000
[::] Illuminance | temt6000_adc=77 | max44009_lx=65.000000
[::] Illuminance | temt6000_adc=87 | max44009_lx=91.300000
[::] Illuminance | temt6000_adc=291 | max44009_lx=91.800000
[::] Illuminance | temt6000_adc=296 | max44009_lx=310.000000
[::] Illuminance | temt6000_adc=272 | max44009_lx=293.000000
[::] Illuminance | temt6000_adc=252 | max44009_lx=269.000000
[::] Illuminance | temt6000_adc=254 | max44009_lx=269.000000
[::] Illuminance | temt6000_adc=237 | max44009_lx=244.000000
[::] Illuminance | temt6000_adc=246 | max44009_lx=257.000000
[::] Illuminance | temt6000_adc=263 | max44009_lx=281.000000
[::] Illuminance | temt6000_adc=297 | max44009_lx=301.000000
[::] Illuminance | temt6000_adc=288 | max44009_lx=301.000000
[::] Illuminance | temt6000_adc=289 | max44009_lx=301.000000
[::] Illuminance | temt6000_adc=302 | max44009_lx=318.000000
[::] Illuminance | temt6000_adc=298 | max44009_lx=318.000000
[::] Illuminance | temt6000_adc=304 | max44009_lx=318.000000
[::] Illuminance | temt6000_adc=294 | max44009_lx=314.000000
[::] Illuminance | temt6000_adc=274 | max44009_lx=289.000000
[::] Illuminance | temt6000_adc=260 | max44009_lx=269.000000
[::] Illuminance | temt6000_adc=267 | max44009_lx=281.000000
[::] Illuminance | temt6000_adc=293 | max44009_lx=306.000000
[::] Illuminance | temt6000_adc=282 | max44009_lx=293.000000
[::] Illuminance | temt6000_adc=263 | max44009_lx=277.000000
[::] Illuminance | temt6000_adc=257 | max44009_lx=273.000000
[::] Illuminance | temt6000_adc=253 | max44009_lx=269.000000
[::] Illuminance | temt6000_adc=262 | max44009_lx=269.000000
[::] Illuminance | temt6000_adc=252 | max44009_lx=269.000000
[::] Illuminance | temt6000_adc=257 | max44009_lx=269.000000
[::] Illuminance | temt6000_adc=277 | max44009_lx=297.000000
[::] Illuminance | temt6000_adc=288 | max44009_lx=301.000000
[::] Illuminance | temt6000_adc=287 | max44009_lx=297.000000
[::] Illuminance | temt6000_adc=290 | max44009_lx=293.000000
[::] Illuminance | temt6000_adc=280 | max44009_lx=289.000000
[::] Illuminance | temt6000_adc=315 | max44009_lx=330.000000
[::] Illuminance | temt6000_adc=317 | max44009_lx=334.000000
[::] Illuminance | temt6000_adc=310 | max44009_lx=326.000000
[::] Illuminance | temt6000_adc=321 | max44009_lx=326.000000
[::] Illuminance | temt6000_adc=331 | max44009_lx=342.000000
[::] Illuminance | temt6000_adc=315 | max44009_lx=330.000000
[::] Illuminance | temt6000_adc=340 | max44009_lx=363.000000
[::] Illuminance | temt6000_adc=333 | max44009_lx=346.000000
[::] Illuminance | temt6000_adc=303 | max44009_lx=310.000000
[::] Illuminance | temt6000_adc=297 | max44009_lx=318.000000
[::] Illuminance | temt6000_adc=290 | max44009_lx=301.000000
[::] Illuminance | temt6000_adc=293 | max44009_lx=302.000000
[::] Illuminance | temt6000_adc=274 | max44009_lx=289.000000
[::] Illuminance | temt6000_adc=296 | max44009_lx=297.000000
[::] Illuminance | temt6000_adc=310 | max44009_lx=326.000000
[::] Illuminance | temt6000_adc=325 | max44009_lx=334.000000
[::] Illuminance | temt6000_adc=282 | max44009_lx=293.000000
[::] Illuminance | temt6000_adc=309 | max44009_lx=318.000000
[::] Illuminance | temt6000_adc=295 | max44009_lx=301.000000
[::] Illuminance | temt6000_adc=283 | max44009_lx=293.000000
[::] Illuminance | temt6000_adc=310 | max44009_lx=314.000000
[::] Illuminance | temt6000_adc=313 | max44009_lx=322.000000
[::] Illuminance | temt6000_adc=306 | max44009_lx=314.000000
[::] Illuminance | temt6000_adc=290 | max44009_lx=293.000000
[::] Illuminance | temt6000_adc=278 | max44009_lx=293.000000
[::] Illuminance | temt6000_adc=323 | max44009_lx=334.000000
[::] Illuminance | temt6000_adc=410 | max44009_lx=399.000000
[::] Illuminance | temt6000_adc=348 | max44009_lx=350.000000
[::] Illuminance | temt6000_adc=233 | max44009_lx=236.000000
[::] Illuminance | temt6000_adc=183 | max44009_lx=195.000000
[::] Illuminance | temt6000_adc=197 | max44009_lx=199.000000
[::] Illuminance | temt6000_adc=241 | max44009_lx=240.000000
[::] Illuminance | temt6000_adc=232 | max44009_lx=228.000000
[::] Illuminance | temt6000_adc=211 | max44009_lx=212.000000
[::] Illuminance | temt6000_adc=200 | max44009_lx=195.000000
[::] Illuminance | temt6000_adc=223 | max44009_lx=228.000000
[::] Illuminance | temt6000_adc=222 | max44009_lx=220.000000
[::] Illuminance | temt6000_adc=210 | max44009_lx=208.000000
[::] Illuminance | temt6000_adc=202 | max44009_lx=195.000000
[::] Illuminance | temt6000_adc=207 | max44009_lx=195.000000
[::] Illuminance | temt6000_adc=192 | max44009_lx=195.000000
[::] Illuminance | temt6000_adc=189 | max44009_lx=195.000000
[::] Illuminance | temt6000_adc=171 | max44009_lx=175.000000
[::] Illuminance | temt6000_adc=161 | max44009_lx=161.000000
[::] Illuminance | temt6000_adc=146 | max44009_lx=159.000000
[::] Illuminance | temt6000_adc=152 | max44009_lx=163.000000
[::] Illuminance | temt6000_adc=149 | max44009_lx=155.000000
[::] Illuminance | temt6000_adc=151 | max44009_lx=161.000000
[::] Illuminance | temt6000_adc=160 | max44009_lx=159.000000
[::] Illuminance | temt6000_adc=161 | max44009_lx=159.000000
[::] Illuminance | temt6000_adc=147 | max44009_lx=159.000000
[::] Illuminance | temt6000_adc=142 | max44009_lx=163.000000
[::] Illuminance | temt6000_adc=166 | max44009_lx=177.000000
[::] Illuminance | temt6000_adc=186 | max44009_lx=193.000000
[::] Illuminance | temt6000_adc=192 | max44009_lx=193.000000
[::] Illuminance | temt6000_adc=186 | max44009_lx=195.000000
[::] Illuminance | temt6000_adc=178 | max44009_lx=187.000000
[::] Illuminance | temt6000_adc=161 | max44009_lx=169.000000
[::] Illuminance | temt6000_adc=151 | max44009_lx=159.000000
[::] Illuminance | temt6000_adc=148 | max44009_lx=155.000000
[::] Illuminance | temt6000_adc=150 | max44009_lx=155.000000
[::] Illuminance | temt6000_adc=149 | max44009_lx=155.000000
[::] Illuminance | temt6000_adc=167 | max44009_lx=173.000000
[::] Illuminance | temt6000_adc=139 | max44009_lx=153.000000
[::] Illuminance | temt6000_adc=151 | max44009_lx=163.000000
[::] Illuminance | temt6000_adc=140 | max44009_lx=153.000000
[::] Illuminance | temt6000_adc=117 | max44009_lx=134.000000
[::] Illuminance | temt6000_adc=113 | max44009_lx=126.000000
[::] Illuminance | temt6000_adc=112 | max44009_lx=126.000000
[::] Illuminance | temt6000_adc=107 | max44009_lx=113.000000
[::] Illuminance | temt6000_adc=87 | max44009_lx=96.000000
[::] Illuminance | temt6000_adc=81 | max44009_lx=86.000000
[::] Illuminance | temt6000_adc=82 | max44009_lx=89.000000
[::] Illuminance | temt6000_adc=75 | max44009_lx=82.000000
[::] Illuminance | temt6000_adc=73 | max44009_lx=77.000000
[::] Illuminance | temt6000_adc=70 | max44009_lx=79.000000
[::] Illuminance | temt6000_adc=80 | max44009_lx=78.000000
[::] Illuminance | temt6000_adc=77 | max44009_lx=79.000000
[::] Illuminance | temt6000_adc=81 | max44009_lx=82.000000
[::] Illuminance | temt6000_adc=83 | max44009_lx=82.000000
[::] Illuminance | temt6000_adc=82 | max44009_lx=85.000000
[::] Illuminance | temt6000_adc=77 | max44009_lx=76.000000
[::] Illuminance | temt6000_adc=28 | max44009_lx=55.000000
[::] Illuminance | temt6000_adc=16 | max44009_lx=23.500000
[::] Illuminance | temt6000_adc=20 | max44009_lx=27.000000
[::] Illuminance | temt6000_adc=19 | max44009_lx=27.000000
[::] Illuminance | temt6000_adc=19 | max44009_lx=27.000000
[::] Illuminance | temt6000_adc=16 | max44009_lx=22.000000
[::] Illuminance | temt6000_adc=13 | max44009_lx=21.800000
[::] Illuminance | temt6000_adc=14 | max44009_lx=21.700000
[::] Illuminance | temt6000_adc=13 | max44009_lx=23.300000
[::] Illuminance | temt6000_adc=18 | max44009_lx=24.000000
[::] Illuminance | temt6000_adc=15 | max44009_lx=24.000000
[::] Illuminance | temt6000_adc=13 | max44009_lx=22.000000
[::] Illuminance | temt6000_adc=3 | max44009_lx=9.830000
[::] Illuminance | temt6000_adc=2 | max44009_lx=7.000000
[::] Illuminance | temt6000_adc=4 | max44009_lx=7.000000
[::] Illuminance | temt6000_adc=14 | max44009_lx=16.700000
[::] Illuminance | temt6000_adc=37 | max44009_lx=65.000000
[::] Illuminance | temt6000_adc=36 | max44009_lx=63.000000
[::] Illuminance | temt6000_adc=29 | max44009_lx=62.000000
[::] Illuminance | temt6000_adc=30 | max44009_lx=63.000000
[::] Illuminance | temt6000_adc=38 | max44009_lx=63.000000
[::] Illuminance | temt6000_adc=35 | max44009_lx=63.000000
[::] Illuminance | temt6000_adc=22 | max44009_lx=47.500000
[::] Illuminance | temt6000_adc=18 | max44009_lx=31.500000
[::] Illuminance | temt6000_adc=17 | max44009_lx=31.000000
[::] Illuminance | temt6000_adc=16 | max44009_lx=31.000000
[::] Illuminance | temt6000_adc=15 | max44009_lx=31.500000
[::] Illuminance | temt6000_adc=13 | max44009_lx=30.000000
[::] Illuminance | temt6000_adc=16 | max44009_lx=30.500000
[::] Illuminance | temt6000_adc=15 | max44009_lx=31.500000
[::] Illuminance | temt6000_adc=13 | max44009_lx=30.500000
[::] Illuminance | temt6000_adc=15 | max44009_lx=31.000000
[::] Illuminance | temt6000_adc=15 | max44009_lx=31.500000
[::] Illuminance | temt6000_adc=14 | max44009_lx=30.500000
[::] Illuminance | temt6000_adc=19 | max44009_lx=26.000000
[::] Illuminance | temt6000_adc=23 | max44009_lx=30.500000
[::] Illuminance | temt6000_adc=22 | max44009_lx=30.500000
[::] Illuminance | temt6000_adc=22 | max44009_lx=29.500000
[::] Illuminance | temt6000_adc=17 | max44009_lx=31.000000
[::] Illuminance | temt6000_adc=17 | max44009_lx=29.500000
[::] Illuminance | temt6000_adc=20 | max44009_lx=29.500000
[::] Illuminance | temt6000_adc=21 | max44009_lx=29.500000
[::] Illuminance | temt6000_adc=20 | max44009_lx=30.500000
[::] Illuminance | temt6000_adc=17 | max44009_lx=30.000000
[::] Illuminance | temt6000_adc=12 | max44009_lx=29.500000
[::] Illuminance | temt6000_adc=11 | max44009_lx=28.500000
[::] Illuminance | temt6000_adc=15 | max44009_lx=28.200000
[::] Illuminance | temt6000_adc=21 | max44009_lx=29.000000
[::] Illuminance | temt6000_adc=21 | max44009_lx=30.000000
[::] Illuminance | temt6000_adc=17 | max44009_lx=31.500000
[::] Illuminance | temt6000_adc=16 | max44009_lx=32.000000
[::] Illuminance | temt6000_adc=17 | max44009_lx=32.500000
[::] Illuminance | temt6000_adc=13 | max44009_lx=32.500000
[::] Illuminance | temt6000_adc=15 | max44009_lx=31.500000
[::] Illuminance | temt6000_adc=17 | max44009_lx=29.500000
[::] Illuminance | temt6000_adc=21 | max44009_lx=33.500000
[::] Illuminance | temt6000_adc=22 | max44009_lx=31.500000
[::] Illuminance | temt6000_adc=23 | max44009_lx=31.000000
[::] Illuminance | temt6000_adc=16 | max44009_lx=29.000000
[::] Illuminance | temt6000_adc=17 | max44009_lx=29.000000
[::] Illuminance | temt6000_adc=18 | max44009_lx=28.500000
[::] Illuminance | temt6000_adc=16 | max44009_lx=29.500000
[::] Illuminance | temt6000_adc=14 | max44009_lx=28.500000
[::] Illuminance | temt6000_adc=15 | max44009_lx=31.500000
[::] Illuminance | temt6000_adc=15 | max44009_lx=33.000000
[::] Illuminance | temt6000_adc=17 | max44009_lx=33.500000
[::] Illuminance | temt6000_adc=16 | max44009_lx=30.000000
[::] Illuminance | temt6000_adc=15 | max44009_lx=31.000000
[::] Illuminance | temt6000_adc=15 | max44009_lx=34.000000
[::] Illuminance | temt6000_adc=19 | max44009_lx=32.500000
[::] Illuminance | temt6000_adc=19 | max44009_lx=32.000000
[::] Illuminance | temt6000_adc=24 | max44009_lx=31.000000
[::] Illuminance | temt6000_adc=24 | max44009_lx=33.000000
[::] Illuminance | temt6000_adc=20 | max44009_lx=31.000000
[::] Illuminance | temt6000_adc=18 | max44009_lx=32.000000
[::] Illuminance | temt6000_adc=14 | max44009_lx=29.500000
[::] Illuminance | temt6000_adc=14 | max44009_lx=28.500000
[::] Illuminance | temt6000_adc=15 | max44009_lx=29.000000
[::] Illuminance | temt6000_adc=9 | max44009_lx=28.500000
[::] Illuminance | temt6000_adc=10 | max44009_lx=27.500000
